Date,Close*
12/8/2011,98.34
12/7/2011,100.49
12/6/2011,101.28
12/5/2011,100.99
12/2/2011,100.96
12/1/2011,100.2
11/30/2011,100.36
11/29/2011,99.79
11/28/2011,98.21
11/25/2011,96.77
11/23/2011,96.17
11/22/2011,98.01
11/21/2011,96.92
11/18/2011,97.41
11/17/2011,98.82
11/16/2011,102.59
11/15/2011,99.37
11/14/2011,98.14
11/11/2011,98.99
11/10/2011,97.78
11/9/2011,95.74
11/8/2011,96.8
11/7/2011,95.52
11/4/2011,94.26
11/3/2011,94.07
11/2/2011,92.51
11/1/2011,92.19
10/31/2011,93.19
10/28/2011,93.32
10/27/2011,93.96
10/26/2011,90.2
10/25/2011,93.17
10/24/2011,91.27
10/21/2011,87.4
10/20/2011,85.3
10/19/2011,86.11
10/18/2011,88.34
10/17/2011,86.38
10/14/2011,86.8
10/13/2011,84.23
10/12/2011,85.57
10/11/2011,85.81
10/10/2011,85.41
10/7/2011,82.98
10/6/2011,82.59
10/5/2011,79.68
10/4/2011,75.67
10/3/2011,77.61
9/30/2011,79.2
9/29/2011,82.14
9/28/2011,81.21
9/27/2011,84.45
9/26/2011,80.24
9/23/2011,79.85
9/22/2011,80.51
9/21/2011,85.92
9/20/2011,86.89
9/19/2011,85.7
9/16/2011,87.96
9/15/2011,89.4
9/14/2011,88.91
9/13/2011,90.21
9/12/2011,88.19
9/9/2011,87.24
9/8/2011,89.05
9/7/2011,89.34
9/6/2011,86.02
9/2/2011,86.45
9/1/2011,88.93
8/31/2011,88.81
8/30/2011,88.9
8/29/2011,87.27
8/26/2011,85.37
8/25/2011,85.3
8/24/2011,85.16
8/23/2011,85.44
8/22/2011,84.12
8/19/2011,82.26
8/18/2011,82.38
8/17/2011,87.58
8/16/2011,86.65
8/15/2011,87.88
8/12/2011,85.38
8/11/2011,85.72
8/10/2011,82.89
8/9/2011,79.3
8/8/2011,81.31
8/5/2011,86.88
8/4/2011,86.63
8/3/2011,91.93
8/2/2011,93.79
8/1/2011,94.89
7/29/2011,95.7
7/28/2011,97.44
7/27/2011,97.4
7/26/2011,99.59
7/25/2011,99.2
7/22/2011,99.87
7/21/2011,99.13
7/20/2011,98.14
